0.719;0.839;0.719;1.079;0.479;0.719;0.959;1.079;0.839;0.839;0.479;1.199;2.997;2.757;2.517;2.637;2.637;1.438;2.277;1.678;1.319;0.839;0.599;0.479
2.637;1.079;1.918;1.678;2.158;2.038;0.599;0;0;1.558;1.319;1.918;1.079;2.038;2.038;1.798;0.839;2.637;1.558;0.24;0.719;0.24;0.24;2.517
0.719;1.438;1.199;0.959;0.599;0.719;0.959;0.599;0.839;1.558;3.476;4.435;5.034;3.716;2.397;3.117;4.315;2.517;1.798;0.599;0.719;0.959;1.079;0.599
0.479;0.12;1.199;0.719;0.24;0;0;0;1.199;1.199;1.438;2.757;3.356;3.836;3.236;3.356;2.637;1.558;0.839;0.599;0.479;0.479;0.24;0
0.959;1.199;1.199;0.959;0.12;0.36;0;0.12;0;0.719;1.079;1.558;1.798;2.517;2.997;3.117;2.397;1.199;0.479;0.24;0.959;1.798;1.678;0.719
0.36;1.438;1.079;0.599;0.12;0.24;1.199;0.12;0.719;0.719;0.719;0.959;0.479;2.277;1.918;1.918;0.959;0.24;0.36;4.076;2.038;1.678;1.678;0.12
0;0.12;0;1.438;0.479;1.319;0;0.24;0.24;0.599;0.959;0.479;0.839;0.24;0.12;0.12;0;0.24;0;0.24;0.36;0.479;1.918;1.319
0.959;0.839;1.558;1.558;1.918;1.319;2.038;1.798;1.678;1.558;0.719;1.319;1.079;0.36;1.438;1.079;0.839;0.599;1.678;0;0.24;0;0;0
